GEOHASH,LATITUDE,LONGITUDE,hour,AVERAGE_SPEED,DISTRICT
sxkd4b,41.1355590820313,28.9544677734375,22,34.45161290322581,Sarıyer
sxkd4b,41.1355590820313,28.9544677734375,23,33.645161290322584,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,0,50.03333333333333,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,1,48.03703703703704,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,2,48.68,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,3,47.30434782608695,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,4,46.61904761904762,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,5,47.17391304347826,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,6,45.8,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,7,51.45161290322581,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,8,50.45161290322581,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,9,49.41935483870968,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,10,50.54838709677419,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,11,49.70967741935484,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,12,52.25806451612903,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,13,50.0,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,14,50.354838709677416,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,15,50.96774193548387,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,16,51.354838709677416,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,17,53.193548387096776,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,18,51.58064516129032,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,19,49.354838709677416,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,20,49.903225806451616,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,21,48.54838709677419,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,22,49.38709677419355,Sarıyer
sxkd4c,41.1410522460938,28.9544677734375,23,50.45161290322581,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,0,39.0,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,1,37.193548387096776,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,2,39.9,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,3,37.35714285714285,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,4,35.214285714285715,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,5,36.84615384615385,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,6,40.03333333333333,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,7,43.16129032258065,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,8,40.774193548387096,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,9,39.38709677419355,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,10,39.70967741935484,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,11,40.193548387096776,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,12,42.064516129032256,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,13,41.096774193548384,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,14,41.29032258064516,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,15,41.774193548387096,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,16,44.74193548387097,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,17,45.064516129032256,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,18,43.83870967741935,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,19,41.61290322580645,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,20,39.096774193548384,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,21,38.41935483870968,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,22,39.064516129032256,Sarıyer
sxkd50,41.1355590820313,28.9654541015625,23,39.96774193548387,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,0,45.0,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,1,49.333333333333336,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,2,40.875,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,3,38.0,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,4,41.0,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,5,43.833333333333336,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,6,39.5625,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,7,41.47368421052632,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,8,46.142857142857146,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,9,46.73684210526316,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,10,42.4,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,11,42.95,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,12,40.73684210526316,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,13,40.05882352941177,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,14,44.9375,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,15,42.5625,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,16,42.45454545454545,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,17,43.65,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,18,39.0,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,19,41.4375,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,20,42.53846153846154,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,21,47.875,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,22,46.8,Sarıyer
sxkd5t,41.1630249023438,28.9874267578125,23,47.5,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,0,46.0,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,1,45.793103448275865,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,2,43.73913043478261,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,3,48.125,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,4,45.0,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,5,43.1,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,6,43.27586206896552,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,7,43.516129032258064,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,8,43.70967741935484,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,9,44.64516129032258,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,10,42.54838709677419,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,11,44.29032258064516,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,12,45.32258064516129,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,13,44.03225806451613,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,14,43.516129032258064,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,15,44.12903225806452,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,16,43.74193548387097,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,17,44.25806451612903,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,18,43.096774193548384,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,19,43.80645161290322,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,20,45.25806451612903,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,21,44.54838709677419,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,22,45.67741935483871,Sarıyer
sxkd5u,41.1575317382813,28.9984130859375,23,43.67741935483871,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,0,47.13793103448276,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,1,46.58620689655172,Sarıyer
sxkd5v,41.1630249023438,28.9984130859375,2,45.17391304347826,Sarıyer
